t_s,distance_cm,reading,present
0.0,,17,0
0.05,,20,0
0.1,,24,0
0.15,,12,0
0.2,,17,0
0.25,,27,0
0.3,,14,0
0.35,,13,0
0.4,,19,0
0.45,,23,0
0.5,,18,0
0.55,,26,0
0.6,,23,0
0.65,,23,0
0.7,,21,0
0.75,,32,0
0.8,,17,0
0.85,,6,0
0.9,,28,0
0.95,,15,0
1.0,,19,0
1.05,,26,0
1.1,,8,0
1.15,,10,0
1.2,,8,0
1.25,,13,0
1.3,,21,0
1.35,,21,0
1.4,,20,0
1.45,,10,0
1.5,,4,0
1.55,,18,0
1.6,,15,0
1.65,,21,0
1.7,,22,0
1.75,,19,0
1.8,,23,0
1.85,,19,0
1.9,,21,0
1.95,,14,0
2.0,,17,0
2.05,,19,0
2.1,,23,0
2.15,,16,0
2.2,,21,0
2.25,,16,0
2.3,,17,0
2.35,,23,0
2.4,,6,0
2.45,,10,0
2.5,,9,0
2.55,,4,0
2.6,,14,0
2.65,,22,0
2.7,,16,0
2.75,,19,0
2.8,,25,0
2.85,,26,0
2.9,,18,0
2.95,,26,0
3.0,,19,0
3.05,,13,0
3.1,,14,0
3.15,,9,0
3.2,,13,0
3.25,,16,0
3.3,,23,0
3.35,,28,0
3.4,,10,0
3.45,,20,0
3.5,,12,0
3.55,,21,0
3.6,,17,0
3.65,,7,0
3.7,,24,0
3.75,,14,0
3.8,,15,0
3.85,,12,0
3.9,,14,0
3.95,,21,0
4.0,,17,0
4.05,,20,0
4.1,,20,0
4.15,,26,0
4.2,,16,0
4.25,,9,0
4.3,,24,0
4.35,,16,0
4.4,,25,0
4.45,,20,0
4.5,,17,0
4.55,,20,0
4.6,,30,0
4.65,,30,0
4.7,,18,0
4.75,,19,0
4.8,,24,0
4.85,,13,0
4.9,,20,0
4.95,,18,0
5.0,,20,0
5.05,,13,0
5.1,,8,0
5.15,,6,0
5.2,,11,0
5.25,,15,0
5.3,,16,0
5.35,,30,0
5.4,,25,0
5.45,,12,0
5.5,,20,0
5.55,,16,0
5.6,,16,0
5.65,,19,0
5.7,,22,0
5.75,,16,0
5.8,,24,0
5.85,,11,0
5.9,,18,0
5.95,,34,0
