t_s,distance_cm,reading,present
0.0,40.0,16,1
0.05,39.249,21,1
0.1,38.497,11,1
0.15,37.746,13,1
0.2,36.995,35,1
0.25,36.243,15,1
0.3,35.492,16,1
0.35,34.74,34,1
0.4,33.989,41,1
0.45,33.238,17,1
0.5,32.486,22,1
0.55,31.735,27,1
0.6,30.984,35,1
0.65,30.232,20,1
0.7,29.481,25,1
0.75,28.73,32,1
0.8,27.978,30,1
0.85,27.227,26,1
0.9,26.476,28,1
0.95,25.724,22,1
1.0,24.973,30,1
1.05,24.221,31,1
1.1,23.47,35,1
1.15,22.719,32,1
1.2,21.967,40,1
1.25,21.216,45,1
1.3,20.465,42,1
1.35,19.713,46,1
1.4,18.962,47,1
1.45,18.211,51,1
1.5,17.459,50,1
1.55,16.708,61,1
1.6,15.957,64,1
1.65,15.205,84,1
1.7,14.454,88,1
1.75,13.702,90,1
1.8,12.951,94,1
1.85,12.2,105,1
1.9,11.448,134,1
1.95,10.697,148,1
2.0,9.946,172,1
2.05,9.194,186,1
2.1,8.443,236,1
2.15,7.692,273,1
2.2,6.94,311,1
2.25,6.189,371,1
2.3,5.437,439,1
2.35,4.686,506,1
2.4,3.935,576,1
2.45,3.183,646,1
2.5,2.432,707,1
2.55,2.0,740,1
2.6,2.0,748,1
2.65,2.0,723,1
2.7,2.0,737,1
2.75,2.0,740,1
2.8,2.0,741,1
2.85,2.0,737,1
2.9,2.0,728,1
2.95,2.0,741,1
3.0,2.0,749,1
3.05,2.0,730,1
3.1,2.0,744,1
3.15,2.0,737,1
3.2,2.0,738,1
3.25,2.0,732,1
3.3,2.0,737,1
3.35,2.0,747,1
3.4,2.0,742,1
3.45,2.432,719,1
3.5,3.183,654,1
3.55,3.935,580,1
3.6,4.686,516,1
3.65,5.437,440,1
3.7,6.189,379,1
3.75,6.94,316,1
3.8,7.692,271,1
3.85,8.443,226,1
3.9,9.194,203,1
3.95,9.946,162,1
4.0,10.697,151,1
4.05,11.448,126,1
4.1,12.2,119,1
4.15,12.951,103,1
4.2,13.702,99,1
4.25,14.454,83,1
4.3,15.205,62,1
4.35,15.957,64,1
4.4,16.708,52,1
4.45,17.459,52,1
4.5,18.211,60,1
4.55,18.962,51,1
4.6,19.713,40,1
4.65,20.465,35,1
4.7,21.216,39,1
4.75,21.967,30,1
4.8,22.719,31,1
4.85,23.47,36,1
4.9,24.221,39,1
4.95,24.973,35,1
5.0,25.724,16,1
5.05,26.476,31,1
5.1,27.227,29,1
5.15,27.978,30,1
5.2,28.73,37,1
5.25,29.481,14,1
5.3,30.232,22,1
5.35,30.984,29,1
5.4,31.735,15,1
5.45,32.486,33,1
5.5,33.238,26,1
5.55,33.989,28,1
5.6,34.74,20,1
5.65,35.492,28,1
5.7,36.243,29,1
5.75,36.995,24,1
5.8,37.746,23,1
5.85,38.497,23,1
5.9,39.249,16,1
5.95,40.0,20,1
