t_s,distance_cm,reading,present
0.0,25.0,24,1
0.05,24.535,16,1
0.1,24.071,27,1
0.15,23.606,28,1
0.2,23.141,11,1
0.25,22.677,15,1
0.3,22.212,24,1
0.35,21.747,22,1
0.4,21.283,24,1
0.45,20.818,19,1
0.5,20.353,30,1
0.55,19.889,30,1
0.6,19.424,26,1
0.65,18.959,33,1
0.7,18.495,30,1
0.75,18.03,23,1
0.8,17.565,31,1
0.85,17.101,24,1
0.9,16.636,36,1
0.95,16.172,31,1
1.0,15.707,32,1
1.05,15.242,30,1
1.1,14.778,43,1
1.15,14.313,36,1
1.2,13.848,37,1
1.25,13.384,39,1
1.3,12.919,47,1
1.35,12.454,49,1
1.4,11.99,52,1
1.45,11.525,56,1
1.5,11.06,70,1
1.55,10.596,60,1
1.6,10.131,64,1
1.65,9.666,69,1
1.7,9.202,85,1
1.75,8.737,97,1
1.8,8.272,100,1
1.85,7.808,108,1
1.9,7.343,123,1
1.95,6.878,149,1
2.0,6.414,170,1
2.05,5.949,194,1
2.1,5.484,216,1
2.15,5.02,255,1
2.2,4.555,295,1
2.25,4.09,341,1
2.3,3.626,397,1
2.35,3.161,449,1
2.4,2.696,511,1
2.45,2.232,565,1
2.5,1.767,620,1
2.55,1.5,650,1
2.6,1.5,637,1
2.65,1.5,644,1
2.7,1.5,643,1
2.75,1.5,642,1
2.8,1.5,644,1
2.85,1.5,655,1
2.9,1.5,641,1
2.95,1.5,652,1
3.0,1.5,636,1
3.05,1.5,644,1
3.1,1.5,647,1
3.15,1.5,650,1
3.2,1.5,650,1
3.25,1.5,651,1
3.3,1.5,644,1
3.35,1.5,643,1
3.4,1.5,651,1
3.45,1.767,617,1
3.5,2.232,557,1
3.55,2.696,500,1
3.6,3.161,442,1
3.65,3.626,395,1
3.7,4.09,341,1
3.75,4.555,298,1
3.8,5.02,252,1
3.85,5.484,221,1
3.9,5.949,194,1
3.95,6.414,164,1
4.0,6.878,148,1
4.05,7.343,124,1
4.1,7.808,111,1
4.15,8.272,99,1
4.2,8.737,83,1
4.25,9.202,84,1
4.3,9.666,71,1
4.35,10.131,68,1
4.4,10.596,65,1
4.45,11.06,60,1
4.5,11.525,57,1
4.55,11.99,49,1
4.6,12.454,44,1
4.65,12.919,43,1
4.7,13.384,31,1
4.75,13.848,30,1
4.8,14.313,29,1
4.85,14.778,30,1
4.9,15.242,37,1
4.95,15.707,27,1
5.0,16.172,29,1
5.05,16.636,38,1
5.1,17.101,27,1
5.15,17.565,33,1
5.2,18.03,22,1
5.25,18.495,26,1
5.3,18.959,21,1
5.35,19.424,24,1
5.4,19.889,31,1
5.45,20.353,15,1
5.5,20.818,27,1
5.55,21.283,26,1
5.6,21.747,20,1
5.65,22.212,15,1
5.7,22.677,24,1
5.75,23.141,20,1
5.8,23.606,24,1
5.85,24.071,22,1
5.9,24.535,32,1
5.95,25.0,20,1
