t_s,distance_cm,reading,present
0.0,15.0,17,1
0.05,14.723,24,1
0.1,14.446,25,1
0.15,14.17,32,1
0.2,13.893,29,1
0.25,13.616,27,1
0.3,13.339,34,1
0.35,13.062,18,1
0.4,12.785,22,1
0.45,12.509,21,1
0.5,12.232,24,1
0.55,11.955,19,1
0.6,11.678,32,1
0.65,11.401,27,1
0.7,11.125,21,1
0.75,10.848,24,1
0.8,10.571,33,1
0.85,10.294,37,1
0.9,10.017,45,1
0.95,9.74,52,1
1.0,9.464,38,1
1.05,9.187,31,1
1.1,8.91,26,1
1.15,8.633,43,1
1.2,8.356,38,1
1.25,8.08,43,1
1.3,7.803,44,1
1.35,7.526,50,1
1.4,7.249,61,1
1.45,6.972,59,1
1.5,6.696,62,1
1.55,6.419,61,1
1.6,6.142,63,1
1.65,5.865,77,1
1.7,5.588,87,1
1.75,5.311,106,1
1.8,5.035,107,1
1.85,4.758,123,1
1.9,4.481,127,1
1.95,4.204,138,1
2.0,3.927,157,1
2.05,3.651,179,1
2.1,3.374,219,1
2.15,3.097,227,1
2.2,2.82,266,1
2.25,2.543,287,1
2.3,2.266,333,1
2.35,1.99,366,1
2.4,1.713,400,1
2.45,1.436,437,1
2.5,1.159,468,1
2.55,1.0,492,1
2.6,1.0,486,1
2.65,1.0,482,1
2.7,1.0,481,1
2.75,1.0,490,1
2.8,1.0,499,1
2.85,1.0,490,1
2.9,1.0,488,1
2.95,1.0,491,1
3.0,1.0,497,1
3.05,1.0,490,1
3.1,1.0,487,1
3.15,1.0,496,1
3.2,1.0,492,1
3.25,1.0,498,1
3.3,1.0,490,1
3.35,1.0,482,1
3.4,1.0,481,1
3.45,1.159,481,1
3.5,1.436,448,1
3.55,1.713,400,1
3.6,1.99,362,1
3.65,2.266,336,1
3.7,2.543,286,1
3.75,2.82,256,1
3.8,3.097,236,1
3.85,3.374,204,1
3.9,3.651,183,1
3.95,3.927,162,1
4.0,4.204,148,1
4.05,4.481,139,1
4.1,4.758,118,1
4.15,5.035,110,1
4.2,5.311,84,1
4.25,5.588,87,1
4.3,5.865,75,1
4.35,6.142,66,1
4.4,6.419,62,1
4.45,6.696,61,1
4.5,6.972,64,1
4.55,7.249,47,1
4.6,7.526,51,1
4.65,7.803,45,1
4.7,8.08,43,1
4.75,8.356,49,1
4.8,8.633,44,1
4.85,8.91,47,1
4.9,9.187,36,1
4.95,9.464,32,1
5.0,9.74,33,1
5.05,10.017,35,1
5.1,10.294,33,1
5.15,10.571,25,1
5.2,10.848,31,1
5.25,11.125,31,1
5.3,11.401,44,1
5.35,11.678,39,1
5.4,11.955,22,1
5.45,12.232,25,1
5.5,12.509,17,1
5.55,12.785,22,1
5.6,13.062,27,1
5.65,13.339,32,1
5.7,13.616,20,1
5.75,13.893,20,1
5.8,14.17,11,1
5.85,14.446,22,1
5.9,14.723,17,1
5.95,15.0,20,1
