t_s,distance_cm,reading,present
0.0,,26,0
0.05,,25,0
0.1,,17,0
0.15,,11,0
0.2,,16,0
0.25,,19,0
0.3,,17,0
0.35,,15,0
0.4,,20,0
0.45,,15,0
0.5,,14,0
0.55,,20,0
0.6,,16,0
0.65,,19,0
0.7,,20,0
0.75,,11,0
0.8,,15,0
0.85,,27,0
0.9,,11,0
0.95,,5,0
1.0,,7,0
1.05,,18,0
1.1,,18,0
1.15,,17,0
1.2,,25,0
1.25,,2,0
1.3,,20,0
1.35,,27,0
1.4,,11,0
1.45,,16,0
1.5,,13,0
1.55,,13,0
1.6,,16,0
1.65,,27,0
1.7,,29,0
1.75,,16,0
1.8,,29,0
1.85,,18,0
1.9,,29,0
1.95,,17,0
2.0,,19,0
2.05,,20,0
2.1,,37,0
2.15,,23,0
2.2,,14,0
2.25,,24,0
2.3,,16,0
2.35,,15,0
2.4,,23,0
2.45,,18,0
2.5,,20,0
2.55,,18,0
2.6,,20,0
2.65,,21,0
2.7,,6,0
2.75,,22,0
2.8,,12,0
2.85,,19,0
2.9,,28,0
2.95,,29,0
3.0,,24,0
3.05,,33,0
3.1,,20,0
3.15,,16,0
3.2,,14,0
3.25,,18,0
3.3,,20,0
3.35,,12,0
3.4,,22,0
3.45,,18,0
3.5,,7,0
3.55,,6,0
3.6,,18,0
3.65,,17,0
3.7,,17,0
3.75,,18,0
3.8,,19,0
3.85,,24,0
3.9,,11,0
3.95,,11,0
4.0,,11,0
4.05,,20,0
4.1,,25,0
4.15,,15,0
4.2,,3,0
4.25,,8,0
4.3,,13,0
4.35,,15,0
4.4,,16,0
4.45,,18,0
4.5,,16,0
4.55,,45,0
4.6,,35,0
4.65,,34,0
4.7,,42,0
4.75,,30,0
4.8,,41,0
4.85,,19,0
4.9,,17,0
4.95,,28,0
