t_s,distance_cm,reading,present
0.0,,25,0
0.05,,17,0
0.1,,12,0
0.15,,18,0
0.2,,24,0
0.25,,12,0
0.3,,13,0
0.35,,21,0
0.4,,17,0
0.45,,22,0
0.5,,18,0
0.55,,22,0
0.6,,12,0
0.65,,18,0
0.7,,17,0
0.75,,11,0
0.8,,9,0
0.85,,22,0
0.9,,16,0
0.95,,12,0
1.0,,17,0
1.05,,25,0
1.1,,4,0
1.15,,9,0
1.2,,12,0
1.25,,27,0
1.3,,20,0
1.35,,23,0
1.4,,11,0
1.45,,11,0
1.5,,21,0
1.55,,18,0
1.6,,21,0
1.65,,17,0
1.7,,20,0
1.75,,19,0
1.8,,23,0
1.85,,23,0
1.9,,8,0
1.95,,5,0
2.0,,24,0
2.05,,25,0
2.1,,12,0
2.15,,7,0
2.2,,19,0
2.25,,24,0
2.3,,29,0
2.35,,21,0
2.4,,16,0
2.45,,23,0
2.5,,28,0
2.55,,26,0
2.6,,22,0
2.65,,40,0
2.7,,39,0
2.75,,25,0
2.8,,12,0
2.85,,23,0
2.9,,31,0
2.95,,30,0
3.0,,34,0
3.05,,31,0
3.1,,31,0
3.15,,31,0
3.2,,20,0
3.25,,7,0
3.3,,19,0
3.35,,15,0
3.4,,10,0
3.45,,28,0
3.5,,28,0
3.55,,26,0
3.6,,20,0
3.65,,26,0
3.7,,18,0
3.75,,19,0
3.8,,11,0
3.85,,20,0
3.9,,18,0
3.95,,10,0
4.0,,18,0
4.05,,18,0
4.1,,29,0
4.15,,23,0
4.2,,18,0
4.25,,19,0
4.3,,18,0
4.35,,17,0
4.4,,12,0
4.45,,17,0
4.5,,14,0
4.55,,10,0
4.6,,21,0
4.65,,20,0
4.7,,7,0
4.75,,17,0
4.8,,24,0
4.85,,24,0
4.9,,24,0
4.95,,18,0
