t_s,distance_cm,reading,present
0.0,6.0,189,1
0.05,6.0,196,1
0.1,6.0,188,1
0.15,6.0,191,1
0.2,6.0,187,1
0.25,6.0,187,1
0.3,6.0,183,1
0.35,6.0,190,1
0.4,6.0,183,1
0.45,6.0,192,1
0.5,6.0,194,1
0.55,6.0,190,1
0.6,,16,0
0.65,,21,0
0.7,,16,0
0.75,,24,0
0.8,,7,0
0.85,,16,0
0.9,,6,0
0.95,,9,0
1.0,,26,0
1.05,,23,0
1.1,,14,0
1.15,,9,0
1.2,,0,0
1.25,,15,0
1.3,,33,0
1.35,,21,0
1.4,,15,0
1.45,,21,0
1.5,6.0,178,1
1.55,6.0,186,1
1.6,6.0,188,1
1.65,6.0,187,1
1.7,6.0,192,1
1.75,6.0,190,1
1.8,6.0,192,1
1.85,6.0,183,1
1.9,6.0,193,1
1.95,6.0,197,1
2.0,6.0,182,1
2.05,6.0,182,1
2.1,,26,0
2.15,,17,0
2.2,,26,0
2.25,,15,0
2.3,,27,0
2.35,,19,0
2.4,,20,0
2.45,,27,0
2.5,,16,0
2.55,,12,0
2.6,,15,0
2.65,,21,0
2.7,,9,0
2.75,,22,0
2.8,,15,0
2.85,,25,0
2.9,,4,0
2.95,,13,0
3.0,6.0,178,1
3.05,6.0,183,1
3.1,6.0,189,1
3.15,6.0,187,1
3.2,6.0,186,1
3.25,6.0,187,1
3.3,6.0,189,1
3.35,6.0,182,1
3.4,6.0,192,1
3.45,6.0,192,1
3.5,6.0,190,1
3.55,6.0,191,1
3.6,,20,0
3.65,,30,0
3.7,,17,0
3.75,,16,0
3.8,,13,0
3.85,,12,0
3.9,,11,0
3.95,,13,0
4.0,,18,0
4.05,,20,0
4.1,,18,0
4.15,,13,0
4.2,,23,0
4.25,,22,0
4.3,,17,0
4.35,,14,0
4.4,,21,0
4.45,,19,0
4.5,6.0,179,1
4.55,6.0,187,1
4.6,6.0,189,1
4.65,6.0,182,1
4.7,6.0,189,1
4.75,6.0,179,1
4.8,6.0,196,1
4.85,6.0,195,1
4.9,6.0,186,1
4.95,6.0,190,1
5.0,6.0,173,1
5.05,6.0,181,1
5.1,6.0,186,1
5.15,,12,0
5.2,,22,0
5.25,,30,0
5.3,,11,0
5.35,,13,0
5.4,,19,0
5.45,,28,0
5.5,,11,0
5.55,,19,0
5.6,,29,0
5.65,,8,0
5.7,,10,0
5.75,,15,0
5.8,,15,0
5.85,,23,0
5.9,,19,0
5.95,,7,0
6.0,6.0,191,1
6.05,6.0,184,1
6.1,6.0,195,1
6.15,6.0,184,1
6.2,6.0,184,1
6.25,6.0,191,1
6.3,6.0,192,1
6.35,6.0,190,1
6.4,6.0,178,1
6.45,6.0,191,1
6.5,6.0,181,1
6.55,6.0,189,1
6.6,6.0,179,1
6.65,,21,0
6.7,,13,0
6.75,,10,0
6.8,,22,0
6.85,,19,0
6.9,,14,0
6.95,,27,0
7.0,,15,0
7.05,,18,0
7.1,,20,0
7.15,,14,0
7.2,,21,0
7.25,,15,0
7.3,,16,0
7.35,,26,0
7.4,,12,0
7.45,,4,0
7.5,6.0,197,1
7.55,6.0,203,1
7.6,6.0,185,1
7.65,6.0,176,1
7.7,6.0,186,1
7.75,6.0,186,1
7.8,6.0,186,1
7.85,6.0,181,1
7.9,6.0,191,1
7.95,6.0,191,1
