t_s,distance_cm,reading,present
0.0,10.0,60,1
0.05,10.0,73,1
0.1,10.0,82,1
0.15,10.0,70,1
0.2,10.0,67,1
0.25,10.0,68,1
0.3,10.0,73,1
0.35,10.0,59,1
0.4,10.0,70,1
0.45,10.0,67,1
0.5,10.0,80,1
0.55,10.0,68,1
0.6,10.0,79,1
0.65,10.0,63,1
0.7,10.0,73,1
0.75,10.0,71,1
0.8,10.0,64,1
0.85,10.0,70,1
0.9,10.0,77,1
0.95,10.0,67,1
1.0,10.0,59,1
1.05,10.0,69,1
1.1,10.0,64,1
1.15,10.0,67,1
1.2,10.0,69,1
1.25,10.0,59,1
1.3,10.0,60,1
1.35,10.0,72,1
1.4,10.0,66,1
1.45,10.0,54,1
1.5,10.0,74,1
1.55,10.0,71,1
1.6,10.0,65,1
1.65,10.0,61,1
1.7,10.0,74,1
1.75,10.0,71,1
1.8,10.0,84,1
1.85,10.0,72,1
1.9,10.0,72,1
1.95,10.0,68,1
2.0,10.0,74,1
2.05,10.0,73,1
2.1,10.0,77,1
2.15,10.0,66,1
2.2,10.0,67,1
2.25,10.0,66,1
2.3,10.0,74,1
2.35,10.0,78,1
2.4,10.0,66,1
2.45,10.0,67,1
2.5,10.0,71,1
2.55,10.0,68,1
2.6,10.0,75,1
2.65,10.0,56,1
2.7,10.0,64,1
2.75,10.0,65,1
2.8,10.0,55,1
2.85,10.0,63,1
2.9,10.0,64,1
2.95,10.0,68,1
